,name,country,latitude,longitude,temperature,cloudiness,humidity,windspeed
308,jamestown,SH,42.097,-79.2353,66.81,90.0,97.0,5.01
309,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
310,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
311,atuona,PF,-9.8,-139.0333,77.31,50.0,80.0,25.7
312,lebu,CL,-37.6167,-73.65,50.61,3.0,71.0,14.97
313,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
314,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
315,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
316,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
317,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
318,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
319,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
320,santa rosa,BO,14.3122,121.1114,81.46,46.0,83.0,5.77
321,pisco,PE,-13.7,-76.2167,62.65,20.0,82.0,9.22
322,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
323,altamira,BR,-3.2033,-52.2064,82.6,91.0,70.0,2.75
324,puerto quijarro,BO,-17.7833,-57.7667,85.96,59.0,22.0,2.01
325,sao joao da barra,BR,-21.6403,-41.0511,71.69,0.0,81.0,9.89
326,jamestown,SH,42.097,-79.2353,66.81,90.0,97.0,5.01
327,castro,CL,-24.7911,-50.0119,55.99,8.0,72.0,3.49
328,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
329,arraial do cabo,BR,-22.9661,-42.0278,69.66,0.0,83.0,5.75
330,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
332,arraial do cabo,BR,-22.9661,-42.0278,69.66,0.0,83.0,5.75
333,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
334,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
335,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
336,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
337,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
338,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
339,jamestown,SH,42.097,-79.2353,66.81,90.0,97.0,5.01
340,mar del plata,AR,-38.0023,-57.5575,54.91,0.0,54.0,8.01
341,sao felix do xingu,BR,-6.6447,-51.995,85.12,98.0,41.0,1.83
342,mar del plata,AR,-38.0023,-57.5575,54.91,0.0,54.0,8.01
343,punta arenas,CL,-53.15,-70.9167,35.71,20.0,80.0,36.82
344,arraial do cabo,BR,-22.9661,-42.0278,69.66,0.0,83.0,5.75
345,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
346,jamestown,SH,42.097,-79.2353,66.81,90.0,97.0,5.01
347,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
348,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
349,puerto ayora,EC,-0.7393,-90.3518,73.54,24.0,81.0,7.0
350,vaini,TO,-21.2,-175.2,77.16,20.0,94.0,10.36
351,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
352,atuona,PF,-9.8,-139.0333,77.31,50.0,80.0,25.7
353,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
354,ushuaia,AR,-54.8,-68.3,33.46,40.0,86.0,21.85
355,vallenar,CL,-28.5708,-70.7581,68.07,11.0,41.0,6.08
356,avarua,CK,-21.2078,-159.775,76.62,22.0,82.0,14.9
357,vaini,TO,-21.2,-175.2,77.16,20.0,94.0,10.36
358,chuy,UY,-33.6971,-53.4616,49.28,0.0,63.0,4.99
360,vaini,TO,-21.2,-175.2,77.16,20.0,94.0,10.36
361,rikitea,PF,-23.1203,-134.9692,73.8,37.0,82.0,21.92
362,mataura,PF,-46.1927,168.8643,34.12,100.0,93.0,3.0
363,buritis,BR,-15.6178,-46.4233,71.82,2.0,31.0,2.91
364,georgetown,SH,5.4112,100.3354,74.91,20.0,94.0,0.0
365,talca,CL,-35.4333,-71.6667,47.16,100.0,62.0,2.21
366,vaini,TO,-21.2,-175.2,77.16,20.0,94.0,10.36
367,cape town,ZA,-33.9258,18.4232,54.61,53.0,85.0,3.0
